key,status,type,venue_used,url,notes
jin2023understanding,verified,inproceedings,"ICML 2023, PMLR 202",https://proceedings.mlr.press/v202/jin23a.html ; https://arxiv.org/abs/2301.11500,ICML 2023 confirmed: PMLR 202:15200-15238. Fourth author listed as Simon Shaolei Du on PMLR (Simon S. Du on arXiv). PMLR title capitalisation 'Fine-grained' matches.
garipov2018loss,verified,inproceedings,NeurIPS 2018 (NeurIPS 31),https://proceedings.neurips.cc/paper_files/paper/2018/hash/be3087e74e9100d4bc4c6268cdbe8456-Abstract.html ; https://arxiv.org/abs/1802.10026,"NeurIPS 2018 confirmed (vol 31). Last author appears as 'Andrew G. Wilson' on NeurIPS page vs 'Andrew Gordon Wilson' on arXiv; Vetrov appears as 'Dmitry P Vetrov' in NeurIPS page text, 'Dmitry Vetrov' in its meta and arXiv. No pages on NeurIPS page."
draxler2018essentially,verified,inproceedings,"ICML 2018, PMLR 80",https://proceedings.mlr.press/v80/draxler18a.html ; https://arxiv.org/abs/1803.00885,ICML 2018 confirmed: PMLR 80:1309-1318. arXiv journal-ref wrongly gives 1308-1317; PMLR page used. Last author 'Fred Hamprecht' on PMLR vs 'Fred A. Hamprecht' on arXiv.
telgarsky2016benefits,verified,inproceedings,"COLT 2016, PMLR 49",https://proceedings.mlr.press/v49/telgarsky16.html ; https://arxiv.org/abs/1602.04485,COLT 2016 confirmed: PMLR 49:1517-1539. PMLR prints title all lowercase ('benefits of depth in neural networks'); arXiv: 'Benefits of depth in neural networks'.
eldan2016the,verified,inproceedings,"COLT 2016, PMLR 49",https://proceedings.mlr.press/v49/eldan16.html ; https://arxiv.org/abs/1512.03965,COLT 2016 confirmed: PMLR 49:907-940; year 2016 (candidate arXiv year 2015).
montufar2014on,verified,inproceedings,NIPS 2014 (NeurIPS 27),https://proceedings.neurips.cc/paper_files/paper/2014/hash/fa6f2a469cc4d61a92d96e74617c3d2a-Abstract.html,"No discrepancy. Venue was called NIPS in 2014; Advances in Neural Information Processing Systems 27. First names: Guido, Razvan, Kyunghyun, Yoshua."
raghu2017on,verified,inproceedings,"ICML 2017, PMLR 70",https://proceedings.mlr.press/v70/raghu17a.html,No discrepancy: five authors incl. Jascha Sohl-Dickstein; PMLR 70:2847-2854.
ahn2022understanding,verified,inproceedings,"ICML 2022, PMLR 162",https://proceedings.mlr.press/v162/ahn22a.html,"No discrepancy: title (lowercase as given), authors Kwangjun Ahn, Jingzhao Zhang, Suvrit Sra, PMLR 162:247-257. Also covers candidate 34."
guss2018on,verified,misc,arXiv 1802.04443,https://arxiv.org/abs/1802.04443,No discrepancy. First author William H. Guss. No journal-ref. Also covers candidate 32.
kaplan2020scaling,verified,misc,arXiv 2001.08361,https://arxiv.org/abs/2001.08361,"Full author list (10): Jared Kaplan, Sam McCandlish, Tom Henighan, Tom B. Brown, Benjamin Chess, Rewon Child, Scott Gray, Alec Radford, Jeffrey Wu, Dario Amodei."
ren2026low,verified,inproceedings,ICML 2026 (Proceedings of the 43rd International Conference on Machine Learning),https://arxiv.org/abs/2606.31856,"Venue claim ICML 2026 / PMLR 306 not confirmable on PMLR: v306 URL returns 404 and the PMLR index lists no volume 306 or ICML 2026 volume. arXiv journal-ref claims PMLR 306 and icml.cc lists an ICML 2026 poster (icml.cc not an allowed verification domain). arXiv now at v2 (18 Aug 2026; wording polished, results unchanged) vs local copy v1. Authors Junyu Ren, Lek-Heng Lim. | 2026-09-23: venue taken from the arXiv PDF page 1 (PMLR 306 stated there; PMLR volume not yet online, so no volume/pages)."
naitzat2020topology,verified,article,"JMLR 21(184), 2020",https://jmlr.org/papers/v21/20-345.html,"JMLR confirmed: vol 21, no 184, pp. 1-40, 2020. Authors Gregory Naitzat, Andrey Zhitnikov, Lek-Heng Lim."
cohen2021gradient,verified,inproceedings,ICLR 2021,https://iclr.cc/virtual/2021/poster/2577,"Author list confirmed as Jeremy Cohen, Simran Kaur, Yuanzhi Li, Zico Kolter, Ameet Talwalkar (order as given)."
shalevshwartz2017failures,verified,inproceedings,"ICML 2017, PMLR 70",https://proceedings.mlr.press/v70/shalev-shwartz17a.html,ICML 2017 confirmed: PMLR 70:3067-3075 (pages not given in candidate).
schaeffer2023are,verified,inproceedings,NeurIPS 2023 (Advances in Neural Information Processing Systems 36),https://proceedings.neurips.cc/paper_files/paper/2023/hash/adc98a266f45005c403b8311ca7e8bd7-Abstract-Conference.html,pages 55565-55581 and DOI 10.52202/075280-2425 from the proceedings BibTeX; arXiv 2304.15004 title and authors match
