window,a,seed,cross_step,cross_w2,final_placed,final_solved
H10,1.5,100040,,,False,False
H10,1.5,100041,1850.0,4.935310118361392,True,True
H10,1.5,100042,2800.0,4.66365031212319,True,True
H10,1.5,100043,2200.0,4.478203444963433,True,True
H10,1.5,100044,8350.0,4.786594761708052,True,False
H10,1.5,100045,1950.0,4.201072047601985,True,True
H10,1.5,100046,2150.0,4.255840072314689,True,True
H10,1.5,100047,1750.0,4.315863729486233,True,True
H10,1.5,100048,5150.0,4.538425049262656,True,True
H10,1.5,100049,2450.0,3.932960321019349,True,True
H10,1.5,100050,4350.0,4.323743676947823,True,True
H10,1.5,100051,2200.0,4.6253163159647315,True,True
H10,1.5,100052,3200.0,4.719671470512115,True,True
H10,1.5,100053,1650.0,3.5273356378733665,True,True
H10,1.5,100054,1950.0,5.1154432504785925,True,True
H10,1.5,100055,1800.0,4.03814707793632,True,True
H10,1.5,100056,2600.0,4.48727570613299,True,True
H10,1.5,100057,1650.0,4.100820252640194,True,True
H10,1.5,100058,1300.0,2.941563457225996,True,True
H10,1.5,100059,1700.0,4.23068228423044,True,True
H10,1.5,100060,3250.0,4.904218985565721,True,True
H10,1.5,100061,1750.0,3.573854256313546,True,True
H10,1.5,100062,1400.0,4.17059435753549,True,True
H10,1.5,100063,1550.0,4.0656691626547685,True,True
H10,1.5,100064,2500.0,5.261268150243921,True,True
H10,1.5,100065,2300.0,3.703630541913348,True,True
H10,1.5,100066,1900.0,3.670362663301619,True,True
H10,1.5,100067,1150.0,3.287289448974755,True,True
H10,1.5,100068,6450.0,3.8962619430644634,True,True
H10,1.5,100069,4850.0,4.118954636954045,True,True
H10,1.5,100070,2000.0,3.9156189285618677,True,True
H10,1.5,100071,2300.0,4.182761301671371,True,True
H10,1.5,100072,,,False,False
H10,1.5,100073,3100.0,6.009992076733107,True,True
H10,1.5,100074,2400.0,3.8696947985223353,True,True
H10,1.5,100075,1900.0,4.053619283710111,True,True
H10,1.5,100076,9700.0,3.791616214171399,True,False
H10,1.5,100077,2150.0,4.060626839784224,True,True
H10,1.5,100078,7750.0,4.102065666506453,True,True
H10,1.5,100079,7050.0,4.056717564811591,True,True
H10,1.5,100080,2100.0,3.4293231770807964,True,True
H10,1.5,100081,1800.0,3.60277718628846,True,True
H10,1.5,100082,2700.0,4.494574324248543,True,True
H10,1.5,100083,1850.0,4.454630048775129,True,True
H10,1.5,100084,7200.0,4.8265901202181904,True,True
H10,1.5,100085,1950.0,3.975204027308834,True,True
H10,1.5,100086,1850.0,3.635089167283368,True,True
H10,1.5,100087,2650.0,4.384023424520354,True,True
H10,1.5,100088,1600.0,4.160855727981059,True,True
H10,1.5,100089,5400.0,4.7881886825087685,True,True
H35,1.3,100000,2200.0,6.166635707310572,True,True
H35,1.3,100001,3450.0,5.448836281644539,True,True
H35,1.3,100002,2100.0,5.155804653206982,True,True
H35,1.3,100003,8500.0,5.151048993715124,True,True
H35,1.3,100004,3050.0,5.538679422243017,True,True
H35,1.3,100005,3950.0,6.129099750764815,True,True
H35,1.3,100006,1350.0,5.332391499739816,True,True
H35,1.3,100007,4100.0,5.7422469333351165,True,True
H35,1.3,100008,4950.0,5.704491329198833,True,True
H35,1.3,100009,2700.0,5.774994216347828,True,True
H35,1.3,100010,1750.0,4.907056391932299,True,True
H35,1.3,100011,1800.0,5.068827315347894,True,True
H35,1.3,100012,3750.0,7.411796116476129,True,True
H35,1.3,100013,2050.0,4.964620387974125,True,True
H35,1.3,100014,2300.0,4.722751904739694,True,True
H35,1.3,100015,3000.0,5.413259949423055,True,True
H35,1.3,100016,4050.0,6.5677590245826325,True,True
H35,1.3,100017,1900.0,5.246040221529671,True,True
H35,1.3,100018,6550.0,5.664688900117068,True,True
H35,1.3,100019,4750.0,5.444223968427974,True,True
H35,1.3,100020,2550.0,5.733075771279455,True,True
H35,1.3,100021,4550.0,5.864090788401544,True,True
H35,1.3,100022,,,False,False
H35,1.3,100023,2800.0,5.168879382802888,True,True
H35,1.3,100024,1750.0,4.908670238696132,True,True
H35,1.3,100025,2650.0,6.009655373670256,True,True
H35,1.3,100026,1850.0,4.825067221577556,True,True
H35,1.3,100027,4200.0,5.633737160391739,True,True
H35,1.3,100028,5400.0,5.416383393841846,True,True
H35,1.3,100029,2800.0,5.884868787451816,True,True
H35,1.3,100030,2900.0,5.418233677805805,True,True
H35,1.3,100031,3650.0,5.8216003436014105,True,True
H35,1.3,100032,2000.0,5.736123614379592,True,True
H35,1.3,100033,2050.0,5.49756631227402,True,True
H35,1.3,100034,10350.0,4.999020564386379,True,True
H35,1.3,100035,4200.0,5.151836329480397,True,True
H35,1.3,100036,4150.0,6.715855144048001,True,True
H35,1.3,100037,1700.0,4.455751414500226,True,True
H35,1.3,100038,2250.0,5.41636495809581,True,True
H35,1.3,100039,4000.0,5.566745981910747,True,True
H35,1.3,100040,,,False,False
H35,1.3,100041,2450.0,6.391154761799275,True,True
H35,1.3,100042,3100.0,5.849843662880644,True,True
H35,1.3,100043,2800.0,5.642129960924442,True,True
H35,1.3,100044,4900.0,5.981056280858839,True,True
H35,1.3,100045,2650.0,5.240638681987408,True,True
H35,1.3,100046,2750.0,5.2487390507521905,True,True
H35,1.3,100047,1850.0,5.461519933124656,True,True
H35,1.3,100048,3900.0,5.893576259306595,True,True
H35,1.3,100049,3050.0,5.0674286594311955,True,True
H35,1.3,100050,5100.0,5.677329631468396,True,True
H35,1.3,100051,2650.0,5.925548287440161,True,True
H35,1.3,100052,3700.0,6.043624372336159,True,True
H35,1.3,100053,3100.0,6.266758453423385,True,True
H35,1.3,100054,2500.0,6.234093872289346,True,True
H35,1.3,100055,2500.0,5.202290861270942,True,True
H35,1.3,100056,3250.0,5.655628674212592,True,True
H35,1.3,100057,2300.0,5.367605783565497,True,True
H35,1.3,100058,2050.0,4.247633860237615,True,True
H35,1.3,100059,2350.0,5.660278804861737,True,True
H35,1.3,100060,3750.0,6.069889609137914,True,True
H35,1.3,100061,2600.0,4.794673253195867,True,True
H35,1.3,100062,1900.0,5.289403383313212,True,True
H35,1.3,100063,2100.0,5.307507433554366,True,True
H35,1.3,100064,3300.0,6.643008310550325,True,True
H35,1.3,100065,3500.0,5.43781915691309,True,True
H35,1.3,100066,2600.0,4.782084789634923,True,True
H35,1.3,100067,1950.0,5.023786009005069,True,True
H35,1.3,100068,8950.0,5.212833738933168,True,True
H35,1.3,100069,5050.0,5.351323391824279,True,True
H35,1.3,100070,2900.0,5.2792597182467205,True,True
H35,1.3,100071,3100.0,5.390647562364122,True,True
H35,1.3,100072,,,False,False
H35,1.3,100073,3750.0,6.907382474651116,True,True
H35,1.3,100074,3350.0,5.23103711948567,True,True
H35,1.3,100075,2650.0,5.237253080220461,True,True
H35,1.3,100076,,,False,False
H35,1.3,100077,3100.0,5.451410565266851,True,True
H35,1.3,100078,7750.0,5.365176050614657,True,True
H35,1.3,100079,6950.0,5.346432564657668,True,True
H35,1.3,100080,2950.0,4.957151802682514,True,True
H35,1.3,100081,2450.0,5.209598295179182,True,True
H35,1.3,100082,3500.0,5.59559518115971,True,True
H35,1.3,100083,2500.0,5.547417046233143,True,True
H35,1.3,100084,6850.0,5.918127545274209,True,True
H35,1.3,100085,2750.0,5.183358066656534,True,True
H35,1.3,100086,2700.0,4.959681724071331,True,True
H35,1.3,100087,3450.0,5.515300853894846,True,True
H35,1.3,100088,2350.0,5.610586366750259,True,True
H35,1.3,100089,4050.0,5.827944897653079,True,True
H35,1.5,100000,1100.0,3.2550528915949157,True,True
H35,1.5,100001,1700.0,2.8702916746856415,True,True
H35,1.5,100002,950.0,2.737317727016147,True,True
H35,1.5,100003,8100.0,2.864606348302304,True,True
H35,1.5,100004,1450.0,2.908412510484934,True,True
H35,1.5,100005,2000.0,3.1831390204691257,True,True
H35,1.5,100006,650.0,2.775726287585018,True,True
H35,1.5,100007,2150.0,3.0221108389865265,True,True
H35,1.5,100008,4000.0,3.095864846921709,True,True
H35,1.5,100009,1250.0,3.0704380110702787,True,True
H35,1.5,100010,800.0,2.622601470351337,True,True
H35,1.5,100011,800.0,2.726440035975071,True,True
H35,1.5,100012,1900.0,3.8832179180371953,True,True
H35,1.5,100013,950.0,2.701370813277701,True,True
H35,1.5,100014,1450.0,3.0470905016206387,True,True
H35,1.5,100015,1650.0,2.869564955563876,True,True
H35,1.5,100016,2100.0,3.5142638213395374,True,True
H35,1.5,100017,850.0,2.740438129577037,True,True
H35,1.5,100018,5800.0,2.9446198961740224,True,True
H35,1.5,100019,4000.0,2.8674466311365983,True,True
H35,1.5,100020,1600.0,3.0564836185389175,True,True
H35,1.5,100021,3000.0,3.0914967456157143,True,True
H35,1.5,100022,,,False,False
H35,1.5,100023,1350.0,2.777691057131821,True,True
H35,1.5,100024,800.0,2.7059202470233608,True,True
H35,1.5,100025,1200.0,3.1782473086559175,True,True
H35,1.5,100026,850.0,2.567064054152799,True,True
H35,1.5,100027,2300.0,2.9951076389275864,True,True
H35,1.5,100028,4500.0,2.8245095404582568,True,True
H35,1.5,100029,1350.0,3.1608705336075866,True,True
H35,1.5,100030,1350.0,2.8642618964116004,True,True
H35,1.5,100031,1850.0,3.0609871088372977,True,True
H35,1.5,100032,1000.0,3.1151850982630536,True,True
H35,1.5,100033,900.0,2.9251807231586797,True,True
H35,1.5,100034,10200.0,2.642133159079244,True,True
H35,1.5,100035,2500.0,2.7260638391002807,True,True
H35,1.5,100036,2200.0,3.4714282818130906,True,True
H35,1.5,100037,800.0,2.445576269542103,True,True
H35,1.5,100038,1050.0,2.837780051215114,True,True
H35,1.5,100039,3250.0,2.951926398470024,True,True
H35,1.5,100040,,,False,False
H35,1.5,100041,1200.0,3.3591191073470537,True,True
H35,1.5,100042,2150.0,3.127508344040375,True,True
H35,1.5,100043,1700.0,3.0545449548781276,True,True
H35,1.5,100044,5600.0,3.1983102897302143,True,True
H35,1.5,100045,1250.0,2.8189070918028913,True,True
H35,1.5,100046,1500.0,2.8214680955185876,True,True
H35,1.5,100047,1200.0,2.886951217571974,True,True
H35,1.5,100048,5500.0,3.0948688955505608,True,True
H35,1.5,100049,2050.0,2.7490221594194413,True,True
H35,1.5,100050,3750.0,3.0548809464985567,True,True
H35,1.5,100051,1650.0,3.0831814455968782,True,True
H35,1.5,100052,1900.0,3.174155503207272,True,True
H35,1.5,100053,1550.0,3.3172664430312313,True,True
H35,1.5,100054,1200.0,3.339995103862486,True,True
H35,1.5,100055,1150.0,2.7657908704892886,True,True
H35,1.5,100056,1950.0,2.9910537872098795,True,True
H35,1.5,100057,1150.0,2.8652738452213145,True,True
H35,1.5,100058,950.0,2.255657759093325,True,True
H35,1.5,100059,1150.0,3.010752194704452,True,True
H35,1.5,100060,2350.0,3.213809423296705,True,True
H35,1.5,100061,1200.0,2.541921134992864,True,True
H35,1.5,100062,900.0,2.8062044021822983,True,True
H35,1.5,100063,1000.0,2.7837420112553506,True,True
H35,1.5,100064,1600.0,3.442541287388469,True,True
H35,1.5,100065,1800.0,2.896723209848739,True,True
H35,1.5,100066,1250.0,2.541167755606999,True,True
H35,1.5,100067,900.0,2.6907563526034326,True,True
H35,1.5,100068,8200.0,2.779060752040786,True,True
H35,1.5,100069,4550.0,2.8757086245230714,True,True
H35,1.5,100070,1400.0,2.807132829930649,True,True
H35,1.5,100071,1500.0,2.7723706774806756,True,True
H35,1.5,100072,,,False,False
H35,1.5,100073,1850.0,3.647006481377908,True,True
H35,1.5,100074,1850.0,2.811845588179331,True,True
H35,1.5,100075,1350.0,2.7516553055406,True,True
H35,1.5,100076,11500.0,2.8329384015758703,True,False
H35,1.5,100077,1500.0,2.919417978539513,True,True
H35,1.5,100078,7050.0,2.8827116964325756,True,True
H35,1.5,100079,6550.0,2.817708490106652,True,True
H35,1.5,100080,1850.0,2.6046771411548777,True,True
H35,1.5,100081,1700.0,2.7634447019077406,True,True
H35,1.5,100082,1900.0,2.9255521941481244,True,True
H35,1.5,100083,1400.0,3.007294696131371,True,True
H35,1.5,100084,5900.0,3.125250199512428,True,True
H35,1.5,100085,1300.0,2.7367505237809087,True,True
H35,1.5,100086,1300.0,2.6143396129482683,True,True
H35,1.5,100087,2100.0,2.9613793255812957,True,True
H35,1.5,100088,1050.0,2.9632810581653284,True,True
H35,1.5,100089,3200.0,3.0609550136773707,True,True
H65,1.3,100000,1500.0,4.315892671900765,True,True
H65,1.3,100001,2750.0,4.124613517330572,True,True
H65,1.3,100002,1500.0,3.89100581740997,True,True
H65,1.3,100003,8400.0,4.109392703891228,True,True
H65,1.3,100004,2300.0,4.006651108971931,True,True
H65,1.3,100005,2450.0,3.4994306961353767,True,True
H65,1.3,100006,1150.0,4.2032272151309575,True,True
H65,1.3,100007,3150.0,4.151503888913541,True,True
H65,1.3,100008,4150.0,4.257614453007164,True,True
H65,1.3,100009,2000.0,4.280605352864429,True,True
H65,1.3,100010,1250.0,3.8119461223447733,True,True
H65,1.3,100011,1300.0,3.9117959898644186,True,True
H65,1.3,100012,2650.0,5.022038139805456,True,True
H65,1.3,100013,1550.0,3.9167839703683525,True,True
H65,1.3,100014,1900.0,3.6331858846585185,True,True
H65,1.3,100015,2400.0,4.282386081495748,True,True
H65,1.3,100016,3100.0,4.7242247220209865,True,True
H65,1.3,100017,1350.0,3.9244075402262943,True,True
H65,1.3,100018,5900.0,4.185563763936668,True,True
H65,1.3,100019,4350.0,4.169712306075538,True,True
H65,1.3,100020,2750.0,4.331410972417675,True,True
H65,1.3,100021,3700.0,4.228745794156657,True,True
H65,1.3,100022,,,False,False
H65,1.3,100023,2450.0,4.062418012887564,True,True
H65,1.3,100024,1300.0,3.7535790054407703,True,True
H65,1.3,100025,2000.0,4.548230770118165,True,True
H65,1.3,100026,1300.0,3.6541009795987134,True,True
H65,1.3,100027,3350.0,4.213387643611673,True,True
H65,1.3,100028,5050.0,4.105239633489691,True,True
H65,1.3,100029,2100.0,4.29133259469628,True,True
H65,1.3,100030,2350.0,4.287879114156268,True,True
H65,1.3,100031,2750.0,4.162641262230714,True,True
H65,1.3,100032,1600.0,4.111431447992624,True,True
H65,1.3,100033,1600.0,4.269466097926718,True,True
H65,1.3,100034,,,False,False
H65,1.3,100035,3500.0,3.9525586039394085,True,True
H65,1.3,100036,3150.0,4.729170429589738,True,True
H65,1.3,100037,1450.0,3.724730788159939,True,True
H65,1.3,100038,1750.0,3.9424748759694395,True,True
H65,1.3,100039,3650.0,4.225141387130758,True,True
H65,1.3,100040,,,False,False
H65,1.3,100041,1800.0,4.839058492844894,True,True
H65,1.3,100042,2450.0,4.297758766395621,True,True
H65,1.3,100043,1900.0,4.030951527651794,True,True
H65,1.3,100044,3000.0,4.229868625984809,True,True
H65,1.3,100045,2000.0,3.8720642064310016,True,True
H65,1.3,100046,2150.0,3.986696048211562,True,True
H65,1.3,100047,1750.0,4.072868242339925,True,True
H65,1.3,100048,4550.0,4.376966766670686,True,True
H65,1.3,100049,2450.0,3.9044705762231957,True,True
H65,1.3,100050,4100.0,4.321327549235642,True,True
H65,1.3,100051,2000.0,4.347213239433533,True,True
H65,1.3,100052,2950.0,4.2898797129748525,True,True
H65,1.3,100053,1850.0,3.752775798762437,True,True
H65,1.3,100054,1750.0,4.434708663220438,True,True
H65,1.3,100055,2050.0,3.9787025913611473,True,True
H65,1.3,100056,2550.0,4.169539857057706,True,True
H65,1.3,100057,1750.0,4.084224457410933,True,True
H65,1.3,100058,1700.0,3.5545760500404517,True,True
H65,1.3,100059,1950.0,4.014589177362968,True,True
H65,1.3,100060,2900.0,4.3519015969754795,True,True
H65,1.3,100061,2000.0,3.5435953864293963,True,True
H65,1.3,100062,1450.0,4.021515145332255,True,True
H65,1.3,100063,1450.0,3.8104575554891382,True,True
H65,1.3,100064,2400.0,4.658028527312124,True,True
H65,1.3,100065,2800.0,4.2272444266288165,True,True
H65,1.3,100066,1900.0,3.679177441693153,True,True
H65,1.3,100067,1450.0,4.126425533911779,True,True
H65,1.3,100068,10650.0,3.9828807602529577,True,True
H65,1.3,100069,4800.0,4.259581737041492,True,True
H65,1.3,100070,2300.0,4.0923587673897295,True,True
H65,1.3,100071,2400.0,3.82766356005357,True,True
H65,1.3,100072,8850.0,4.357381755409592,True,True
H65,1.3,100073,2750.0,4.767676279208481,True,True
H65,1.3,100074,2800.0,4.198623750573483,True,True
H65,1.3,100075,2050.0,3.9473507619790134,True,True
H65,1.3,100076,9350.0,3.9134716603773647,True,True
H65,1.3,100077,2500.0,4.066237138850331,True,True
H65,1.3,100078,6950.0,4.010088305725965,True,True
H65,1.3,100079,2850.0,4.1030771239856,True,True
H65,1.3,100080,2550.0,4.004240553423115,True,True
H65,1.3,100081,2150.0,4.196121306875758,True,True
H65,1.3,100082,2750.0,4.270341146692591,True,True
H65,1.3,100083,1950.0,4.158015120907213,True,True
H65,1.3,100084,4750.0,4.25004064240792,True,True
H65,1.3,100085,2150.0,3.8929764480717277,True,True
H65,1.3,100086,2150.0,3.8826676756478125,True,True
H65,1.3,100087,2500.0,3.7540553868208226,True,True
H65,1.3,100088,1800.0,4.359411237206782,True,True
H65,1.3,100089,2850.0,4.317964457477691,True,True
H65,1.5,100000,850.0,2.419811830297537,True,True
H65,1.5,100001,1300.0,2.2026818043065064,True,True
H65,1.5,100002,650.0,2.105753193366437,True,True
H65,1.5,100003,8250.0,2.430558351471436,True,True
H65,1.5,100004,1050.0,2.1463908770313527,True,True
H65,1.5,100005,1150.0,1.8793265707328848,True,True
H65,1.5,100006,450.0,2.2595283074793535,True,True
H65,1.5,100007,1550.0,2.21027211911299,True,True
H65,1.5,100008,3450.0,2.240051612443323,True,True
H65,1.5,100009,850.0,2.243342454975765,True,True
H65,1.5,100010,550.0,2.0913643546095577,True,True
H65,1.5,100011,550.0,2.126444152773743,True,True
H65,1.5,100012,1300.0,2.7280856137868303,True,True
H65,1.5,100013,700.0,2.176699103648019,True,True
H65,1.5,100014,800.0,1.9372967274743282,True,True
H65,1.5,100015,1350.0,2.3453855365351317,True,True
H65,1.5,100016,1500.0,2.5253618553954076,True,True
H65,1.5,100017,600.0,2.1596278795151638,True,True
H65,1.5,100018,5500.0,2.3918718468023235,True,True
H65,1.5,100019,3900.0,2.274315652042685,True,True
H65,1.5,100020,1600.0,2.371003263888881,True,True
H65,1.5,100021,2600.0,2.267501436668898,True,True
H65,1.5,100022,,,False,False
H65,1.5,100023,1200.0,2.223387027592721,True,True
H65,1.5,100024,550.0,2.0741252978308027,True,True
H65,1.5,100025,850.0,2.402201933199591,True,True
H65,1.5,100026,600.0,2.0531809435880213,True,True
H65,1.5,100027,1800.0,2.3074691233263076,True,True
H65,1.5,100028,4550.0,2.359472841713705,True,True
H65,1.5,100029,1000.0,2.387782736352046,True,True
H65,1.5,100030,1050.0,2.2863384731488203,True,True
H65,1.5,100031,1350.0,2.2714862380659935,True,True
H65,1.5,100032,850.0,2.286592816958167,True,True
H65,1.5,100033,700.0,2.3669138322804324,True,True
H65,1.5,100034,,,False,False
H65,1.5,100035,2100.0,2.092102945360576,True,True
H65,1.5,100036,1650.0,2.482880987248484,True,True
H65,1.5,100037,700.0,2.0266972913227828,True,True
H65,1.5,100038,800.0,2.130908217966432,True,True
H65,1.5,100039,3250.0,2.3537928815937805,True,True
H65,1.5,100040,,,False,False
H65,1.5,100041,900.0,2.615823093775354,True,True
H65,1.5,100042,1850.0,2.2825225604075814,True,True
H65,1.5,100043,1000.0,2.1611719125675295,True,True
H65,1.5,100044,3900.0,2.347412887662307,True,True
H65,1.5,100045,900.0,2.1108403225468457,True,True
H65,1.5,100046,1200.0,2.202713399732363,True,True
H65,1.5,100047,1300.0,2.1265658895789423,True,True
H65,1.5,100048,2900.0,2.3089286272683793,True,True
H65,1.5,100049,1650.0,2.125254012920582,True,True
H65,1.5,100050,2950.0,2.351325558946446,True,True
H65,1.5,100051,1250.0,2.4178834841193018,True,True
H65,1.5,100052,1800.0,2.2717703184097986,True,True
H65,1.5,100053,800.0,1.9529444922949786,True,True
H65,1.5,100054,800.0,2.325280334070589,True,True
H65,1.5,100055,900.0,2.109443986302688,True,True
H65,1.5,100056,1650.0,2.3091621245988567,True,True
H65,1.5,100057,900.0,2.270183982389066,True,True
H65,1.5,100058,750.0,1.8698388120776155,True,True
H65,1.5,100059,1000.0,2.1399242645414422,True,True
H65,1.5,100060,1900.0,2.4087019211202088,True,True
H65,1.5,100061,900.0,1.9326812923963883,True,True
H65,1.5,100062,700.0,2.1697887272789425,True,True
H65,1.5,100063,700.0,2.076730786300139,True,True
H65,1.5,100064,1150.0,2.521761405299125,True,True
H65,1.5,100065,1400.0,2.3151523900888034,True,True
H65,1.5,100066,850.0,1.9786249385596393,True,True
H65,1.5,100067,650.0,2.283005771245045,True,True
H65,1.5,100068,10350.0,2.2505359690360063,True,True
